mid,ld,vrn,y,m,mo,ec,col,dd,tld,pav,rc,amfv,pn,ddob,ft,d,s,id
"1654378144712","17.02.2023 07:23:39","GE35 CRO","04.07.2015 16:12:47","Mazda","CX-9","937","Teal","The hood, in a bid for freedom, staged a coup and attempted to secede from the rest of the car's body, resulting in a rebellious display of popping open at random.","TotalLoss","25514,82","20123,36","146208","$!C@!L $Y #6$#8#@99$!0!$4 #C@#J","31.10.1957","PETROL","","5","26.07.2023 21:45:43"
"630623577453","23.08.2019 11:18:40","JZ28 ZAA","07.12.2014 15:15:50","Smart","Aventador","6939","Navy","The air conditioning, in a mischievous act, emitted bursts of cool air in sync with the car's music, creating an impromptu wind machine effect for the car's occupants.","Repair","10066,82","2898,69","122119","#$C!#L$ Y@ 4@3$6 4 @4# 8N@#W","24.01.1966","DIESEL","0","3","26.07.2023 21:45:43"
"5530988304735","22.11.2022 00:03:03","KL88 DOS","15.12.2008 07:00:57","Chevrolet","Ranchero","3617","Cyan","The windshield wipers, in a moment of rebellion, formed a synchronized tap-dancing troupe and showcased their moves on the car's windshield, providing entertainment for the car's occupants.","TotalLoss","40555,16","40540,59","142400","$!C L $Y@#6!07 1$#07 @P$!N","15.06.1962","PETROL","2","9","26.07.2023 21:45:43"
"4857747925401","03.09.2019 13:12:32","FP40 CHG","19.11.2004 18:01:13","Jeep","Silverado","6986","Green","The hood ornament, in a moment of artistic expression, transformed into a tiny gallery and showcased rotating exhibitions of miniature sculptures and paintings.","TotalLoss","40187,16","17905,75","","@ C!#L @Y00 #1$@82#1LP","13.01.1977","PETROL/ELECTRIC","4","0","26.07.2023 21:45:43"
"2407061255010","21.02.2022 12:56:58","UZ78 VLJ","13.08.2003 01:26:00","Hyundai","Volt","2182","Maroon","The side mirror, in a moment of rebellion, developed a sassy attitude and started complimenting the car's occupants on their impeccable style and flawless hairdos.","TotalLoss/Repair","26104,71","41022,46","40836"," @C!LY #8@2#@7@#2# 0 !1@$TK","27.06.1979","ELECTRIC","5","9","26.07.2023 21:45:43"
"8247507876396","26.01.2023 07:44:21","TW58 JEK","24.04.2018 10:02:00","Bugatti","ATS","4046","Maroon","The rearview mirror, feeling like a life coach, provided affirmations and motivational speeches to boost the car's occupants' self-confidence during their journeys.","TotalLoss/Repair","12171,24","32460,85","24317","CLY@$3@4@!2$01@#3@$J#G","10.02.2004","","0","2","26.07.2023 21:45:43"
"770698874104","25.08.2022 15:25:14","","27.09.2006 09:19:33","Toyota","CX-9","6857","Green","The CD player, feeling nostalgic, transformed into a time machine and played only hits from past decades, turning the car into a rolling time capsule.","TotalLoss","29587,96","35624,98","106580"," $CL!@Y$54#@02@$5$5#$ER","24.06.2003","ELECTRIC","3","6","26.07.2023 21:45:43"
"2861322456389","03.09.2018 08:23:36","GS54 UVQ","21.08.2007 12:10:17","Fiat","Focus","6227","Green","The steering wheel, in a bid for efficiency, developed autopilot capabilities and attempted to take over the car's navigation, resulting in a comical struggle between the car's owner and the rebellious steering wheel.","TotalLoss","25142,66","28021,39","58053"," !CL#$Y#@4#@47! 6! 6! 3QK","07.01.1996","DIESEL/ELECTRIC","5","6","26.07.2023 21:45:43"
"9141217165794","18.09.2018 22:30:49","BJ44 JTY","21.10.2015 14:09:34","Mini","Beetle","5189","Brown","The CD player, in a moment of rebellion, played only catchy jingles from TV commercials, turning the car into a rolling advertisement jamboree.","Repair","25458,30","25160,15","113004","!#C@ L Y$8$@31! 4#1 @8$ C!@B","27.10.1997","PETROL/ALCOHOL","4","2","26.07.2023 21:45:43"
"1237364202613","26.04.2023 11:30:30","DP10 EXS","13.08.2009 21:31:07","Polestar","CTS","1199","Navy","The air conditioning, suffering from an existential crisis, began blowing hot air as a rebellious act of protest against the concept of temperature.","Repair","23411,85","15346,73","42856","@!C @L$#Y$2!#8@!1 !4 @9$@6$!X$ E","11.11.1998","ELECTRIC","0","7","26.07.2023 21:45:43"
"4749306011275","09.04.2022 12:48:12","OU39 MCC","24.04.2005 01:24:28","Cadillac","PT Cruiser","3770","Teal","The glove compartment, feeling like a magician's hat, transformed into a portal to another dimension and temporarily stored all the car's belongings in an alternate realm.","Repair","45569,74","30400,07","136229"," C@#L#!Y 60$@0$!9@ 80I@#F","20.02.1957","DIESEL/MHEV","0","3","26.07.2023 21:45:43"
"4919374092894","02.06.2021 06:39:50","BE10 OSN","02.07.2017 23:36:02","BMW","Golf","3214","Brown","The GPS system, feeling mischievous, decided to challenge the driver to a game of 'Hide and Seek' and provided hilariously inaccurate directions at every turn.","TotalLoss","9042,83","19991,11","28276","C#!L!@Y@$4@4!@56#$9#!4H$#W","28.08.1972","DIESEL/ELECTRIC","5","6","26.07.2023 21:45:43"
"3162691361666","23.09.2020 11:53:02","CT21 ZHN","13.01.2013 22:06:31","Nissan","Element","5088","Yellow","The windshield, after being hit by a mysterious floating meatball, now bears the saucy marks of an extraterrestrial pasta invasion.","Repair","24008,03","5800,75","171261","@#C #L Y7 4$ 5#$7!@95! C$Y","26.06.1993","DIESEL/MHEV","3","7","26.07.2023 21:45:43"
"9242717508271","18.10.2019 19:02:03","MX41 QYI","01.10.2022 03:49:48","Fiat","V90","4255","Olive","The cup holder, on a quest for culinary excellence, transformed into a mini kitchen and attempted to serve gourmet meals to the car's occupants.","Repair","32913,36","11869,87","197819","#CL@#Y@!7#5# 2 !799@ R#!Q","28.05.1974","PETROL","0","2","26.07.2023 21:45:43"
"7466987172020","16.11.2022 13:15:59","OF19 WPZ","12.03.2007 22:10:43","Honda","Volt","6852","Yellow","The windshield wipers, in a moment of rebellion, developed a synchronized swimming routine and entertained onlookers with their aquatic dance moves.","Repair","","18884,30","39583","C$@L$!Y@ 8$8@0 #2$5#$5$Y $S","07.10.2000","PETROL","3","6","26.07.2023 21:45:43"
"915712302489","","TV36 VBM","14.04.2018 03:22:06","Lamborghini","LeBaron","1765","Red","The air conditioning, in a bid for culinary creativity, emitted scents of freshly baked cookies and sizzling bacon, turning the car into an irresistible mobile café.","TotalLoss","30766,80","31548,57","103549","$C!$L$ Y!#8#@1#0!6 $8#$9 GZ","04.03.1979","DIESEL/ELECTRIC","2","6","26.07.2023 21:45:43"
"8748865372242","16.03.2020 04:55:29","DZ19 URJ","05.07.2009 04:13:42","BMW","Prius","3184","Magenta","The windshield wipers, feeling mischievous, choreographed an elaborate tap dance routine on the car's windshield, impressing and confusing onlookers.","TotalLoss","49174,95","3829,40","197703","!#C#L@Y@6$4@6 1@$5@#5! TZ","","DIESEL/ELECTRIC","5","7","26.07.2023 21:45:43"
"3961081764485","24.12.2018 10:43:17","PW67 TFP","31.07.2022 05:56:41","Jaguar","Grand Cherokee","3132","Yellow","The air conditioning, in a bid for relaxation, emitted soothing scents and played soft spa-like music, turning the car into a peaceful sanctuary on wheels.","TotalLoss/Repair","","19471,83","150486","$!C!$L!Y #9!#846@!9$ 9J!Q","12.07.1992","PETROL/ELECTRIC","6","0","26.07.2023 21:45:43"
"2352821122638","24.02.2020 22:36:59","RF01 BSM","21.01.2005 03:49:07","Hyundai","Mercielago","1114","Yellow","The sunroof, in a moment of rebellion, decided to moonlight as a starry night sky, projecting constellations and shooting stars on the car's ceiling.","TotalLoss/Repair","27839,18","39140,39","83700","C L #Y1!$5#!4@!4$1$!9!X@#B","21.10.1963","","","9","26.07.2023 21:45:43"
"2903085710794","17.09.2022 09:12:54","EL86 RIO","19.11.2019 16:17:40","Ford","Focus","6942","Magenta","The hood ornament, in a moment of mischief, developed the ability to change its shape and transformed into a comical caricature of the car's owner.","Repair","34326,58","1315,11","12200","C$@L#Y@$2#@1 @4#547#R@$R","19.12.1960","PETROL/LPG","5","8","26.07.2023 21:45:43"
"1921153228652","07.04.2022 12:21:25","EM53 EPA","30.06.2020 23:26:04","BMW","Silverado","4880","Green","The cup holder, in an act of rebellion, launched an all-out protest against lukewarm beverages and demanded only the hottest coffee on the road.","TotalLoss","31922,70","","40537","@!C #L!$Y$#8#3@78 @3$@3#@O W","23.04.1975","DIESEL","","2","26.07.2023 21:45:43"
"2033646915593","22.02.2020 00:34:34","CY94 LRQ","31.08.2007 11:28:46","Land Rover","PT Cruiser","2118","Silver","The glove compartment, in a moment of quirkiness, developed a sentient hand that offered a high-five to the car's occupants every time it was opened.","TotalLoss/Repair","38414,09","32150,79","32019","#@C@L#!Y@$1 $3$@52@$5!$4F$M","22.06.1996","DIESEL/ELECTRIC","5","3","26.07.2023 21:45:43"
"200192172398","20.09.2018 13:51:37","RX33 PMY","14.10.2008 22:03:55","Cadillac","XTS","5115","Silver","","Repair","28946,42","1018,00","185222","#C#$L@Y# 2$#7# 0@$9@5$ 0C#@Z","16.03.1978","DIESEL/MHEV","6","9","26.07.2023 21:45:43"
"4403620436288","29.10.2021 16:53:21","FZ98 DWL","29.10.2012 17:09:29","Mazda","1","4210","Black","The cup holder, overwhelmed by its responsibilities, embarked on a soul-searching journey to find the true meaning of 'holding cups' and left the car without a safe spot for beverages.","Repair","15341,75","23289,14","18655","!#C#L$Y 4 @2 @5$98$!1 C $P","11.10.1989","ELECTRIC","2","6","26.07.2023 21:45:43"
